Gene	SRR6080007	SRR6080008	SRR6080009	SRR6080012	SRR6080013	SRR6080014
AT1G01010	47.53520645113166	46.21767998734628	37.28327872856619	103.47434136316794	88.8008364033948	77.75320999334444
AT1G01020	267.5423098234455	277.4214286844615	155.44395119897146	263.21152614253333	247.23442649458963	329.6356230813299
AT1G01030	199.04815280765314	228.1238307901596	266.8728426550033	71.74714706458302	82.61023659041086	86.73000733044869
AT1G01040	725.2113949963552	911.1653544576192	668.4248849426161	1440.4052489978615	1330.4026224964778	1412.0603448137306
AT1G01046	5.964181545117318	4.006678256978709	0.9885231658270757	14.06238713967973	9.056271434786721	19.127883933484668
AT1G01050	1354.2161598551656	1381.2021139742133	1162.936465288638	1342.633065900229	1206.1491447794199	1304.2960862794575
AT1G01060	888.6581863552955	967.4540079957036	1617.91242173123	511.5669362225306	1510.1617345924153	1248.44495450149
AT1G01070	126.58455109563114	171.99255297315298	168.16928533313404	446.2519614422226	267.1365265664954	352.51974561886624
AT1G01080	1862.996983977465	1853.249950525417	1595.2436948693191	1275.3390109028821	1390.2112080565323	1378.2030736124673
AT1G01090	5899.518318969387	5103.458503239459	6105.929556979514	3973.9133326768524	4318.991150671016	4403.107644039225
AT1G01100	5335.125863271201	5861.184081571612	5896.925195038096	3462.0342484555526	3237.2760107262498	3579.933631886187
AT1G01110	52.465323304115024	92.44186157439779	76.83183834822869	148.74466123158157	77.49427713473148	158.50416700064267
AT1G01120	1694.7466340981102	1652.1717577316324	1540.8814875131418	789.8237611048152	1088.8804221592495	811.7607075338312
AT1G01130	20.55933170853743	22.927324463220522	31.56549524810656	29.392058774236812	34.161396773996316	35.16704149810924
AT1G01140	858.2268585302267	1015.6389137929908	855.4214638665304	1671.875549736236	1661.2910120383824	1342.7957609722125
AT1G01150	2.0280241531822893	4.88740533206447	5.120829104673507	8.988131249899993	2.0367231766105216	7.819925513293442
AT1G01160	580.3431089246532	701.3636154841325	607.0822292088574	792.3143837395489	674.7153647631261	693.3124638567052
AT1G01170	837.5975484818752	945.8921768705677	838.6636330971552	848.8620996402475	743.6232856535087	857.137641779553
AT1G01180	197.00116525120953	192.50691707029142	212.7813723836661	266.6862191681164	345.8489366151453	324.26831312960826
AT1G01183	0.9940302168056787	0	0	0	0	0
AT1G01190	178.13596550600064	174.90721056121694	221.39111471519908	95.30398709159773	66.09183561375815	43.52571791766442
AT1G01200	26.549237135221457	25.6436714344952	24.67249595159212	36.76406558558206	30.963288405694414	30.120774786728607
AT1G01210	223.1541093403278	219.92615302177967	230.67110784905773	170.9649737161629	138.43876290018264	179.0980850847509
AT1G01220	611.6522234363277	660.4160252718623	506.2186241854396	654.8136390635716	691.0870031433492	769.1528937632958
